sentence,label
Electrical and Electronics Engineering  Manipal Institute of Technology,experience
January 2015    DEEKSHA CENTER,other
January 2013    Little Flower Public School,other
August 2000    Manipal Academy of Higher,other
DATA SCIENCE,other
DATA SCIENCE AND ELECTRICAL ENTHUSIAST,other
Skill Details,other
Data Analysis- Exprience - Less than 1 year months,other
excel- Exprience - Less than 1 year months,other
Machine Learning- Exprience - Less than 1 year months,skills
mathematics- Exprience - Less than 1 year months,other
Python- Exprience - Less than 1 year months,skills
Matlab- Exprience - Less than 1 year months,other
Electrical Engineering- Exprience - Less than 1 year months,experience
Sql- Exprience - Less than 1 year monthsCompany Details,experience
company - THEMATHCOMPANY,experience
description - I am currently working with a Casino based operator(name not to be disclosed) in Macau,other
I need to segment the customers who visit their property based on the value the patrons bring into the company,experience
Basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up,other
Henceforth they can implement target marketing strategy to attract their customers who add value to the business,other
Skills â¢ R â¢ Python â¢ SAP HANA â¢ Tableau â¢ SAP HANA SQL â¢ SAP HANA PAL â¢ MS SQL â¢ SAP Lumira â¢ C# â¢ Linear Programming â¢ Data Modelling â¢ Advance Analytics â¢ SCM Analytics â¢ Retail Analytics â¢Social Media Analytics â¢ NLP Education Details,skills
January 2017 to January 2018 PGDM Business Analytics  Great Lakes Institute of Management & Illinois Institute of Technology,other
"January 2013 Bachelor of Engineering Electronics and Communication Bengaluru, Karnataka New Horizon College of Engineering, Bangalore Visvesvaraya Technological University",education
Data Science Consultant,other
Consultant - Deloitte USI,other
Skill Details,other
LINEAR PROGRAMMING- Exprience - 6 months,other
RETAIL- Exprience - 6 months,other
RETAIL MARKETING- Exprience - 6 months,other
SCM- Exprience - 6 months,other
SQL- Exprience - Less than 1 year months,skills
Deep Learning- Exprience - Less than 1 year months,other
Machine learning- Exprience - Less than 1 year months,skills
Python- Exprience - Less than 1 year months,skills
R- Exprience - Less than 1 year monthsCompany Details,experience
company - Deloitte USI,experience
description - The project involved analysing historic deals and coming with insights to optimize future deals,project
"Role: Was given raw data, carried out end to end analysis and presented insights to client",other
Key Responsibilities:,other
â¢ Extract data from client systems across geographies,other
â¢ Understand and build reports in tableau,other
Infer meaningful insights to optimize prices and find out process blockades,other
"Technical Environment: R, Tableau",other
Industry: Cross Industry,other
Service Area: Cross Industry - Products,other
Project Name: Handwriting recognition,project
Consultant: 3 months,other
The project involved taking handwritten images and converting them to digital text images by object detection and sentence creation,project
Role: I was developing sentence correction functionality,other
Key Responsibilities:,other
â¢ Gather data large enough to capture all English words,other
â¢ Train LSTM models on words,other
Technical Environment: Python,skills
Industry: Finance,other
Service Area: Financial Services - BI development Project Name: SWIFT,project
Consultant: 8 months,other
"The project was to develop an analytics infrastructure on top of SAP S/4, it would user to view",project
financial reports to respective departments,other
Reporting also included forecasting expenses,other
Role: I was leading the offshore team,other
Key Responsibilities:,other
â¢ Design & Develop data models for reporting,other
â¢ Develop ETL for data flow,other
â¢ Validate various reports,other
"Technical Environment: SAP HANA, Tableau, SAP AO",other
Industry: Healthcare Analytics,other
Service Area: Life Sciences - Product development Project Name: Clinical Healthcare System,project
Consultant: 2 months,other
"The project was to develop an analytics infrastructure on top of Argus, it would allow users to query faster and provide advance analytics capabilities",project
"Role: I was involved from design to deploy phase, performed a lot of data restructuring and built",project
models for insights,other
Key Responsibilities:,other
â¢ Design & Develop data models for reporting,other
â¢ Develop and deploy analytical models,other
â¢ Validate various reports,other
"Technical Environment: Data Modelling, SAP HANA, Tableau, NLP",other
Industry: FMCG,other
Service Area: Trade & Promotion,other
Project Name: Consumption Based Planning for Flowers Foods Consultant; 8 months,project
The project involved setting up of CRM and CBP modules,project
Role: I was involved in key data decomposition activities and setting up the base for future year,other
forecast,other
Over the course of the project I developed various models and carried out key,project
performance improvements,other
Key Responsibilities:,other
â¢ Design & Develop HANA models for decomposition,other
â¢ Develop data flow for forecast,other
â¢ Developed various views for reporting of Customer/Sales/Funds,project
â¢ Validate various reports in BOBJ,other
"Technical Environment: Data Modelling, SAP HANA, BOBJ, Time Series Forecasting",other
Internal Initiative Industry: FMCG,experience
Customer Segmentation and RFM analysis Consultant; 3 months,other
The initiative involved setting up of HANA-Python interface and advance analytics on Python,skills
Over the course I had successfully segmented data into five core segments using K-means and carried out RFM analysis in Python,skills
Also developed algorithm to categorize any new customer under the defined buckets,project
"Technical Environment: Anaconda3, Python3",skills
"6, HANA SPS12",other
Industry: Telecom Invoice state detection Consultant; 1 months,other
"The initiative was to reduce the manual effort in verifying closed and open invoices manually, it",other
involved development to a decision tree to classify open/closed invoices,other
This enabled effort,other
reduction by 60%,other
"Technical Environment: R, SAP PAL, SAP HANA SPS12",other
Accenture Experience,experience
Industry: Analytics - Cross Industry,other
In Process Analytics for SAP Senior Developer; 19 months,experience
Accenture Solutions Pvt,other
Ltd,other
", India",other
The project involved development of SAP analytics tool - In Process Analytics (IPA),project
My role was to develop database objects and data models to provide operational insights to clients,other
Role: I have developed various Finance related KPIs and spearheaded various deployments,project
Introduced SAP Predictive analytics to reduce development time and reuse functionalities for KPIs and prepared production planning reports,other
Key Responsibilities:,other
â¢ Involved in information gather phase,other
"â¢ Designed and implemented SAP HANA data modelling using Attribute View, Analytic View, and",project
Calculation View,other
â¢ Developed various KPI's individually using complex SQL scripts in Calculation views,skills
â¢ Created procedures in HANA Database,project
â¢ Took ownership and developed Dashboard functionality,project
â¢ Involved in building data processing algorithms to be executed in R server for cluster analysis,other
"Technical Environment: R, SAP HANA, T-SQL",skills
Industry: Cross Industry,other
Accenture Testing Accelerator for SAP Database Developer; 21 months,experience
Accenture Solutions Pvt,other
Ltd,other
", India",other
Role: I have taken care of all development activities for the ATAS tool and have also completed,other
various deployments of the product,other
Apart from these activities I was also actively involved in maintenance of the database servers,other
(Production & Quality),other
Key Responsibilities:,other
"â¢ Analyzing business requirements, understanding the scope, getting requirements clarified",other
interacting with business and further transform all requirements to generate attribute,other
mapping documents and reviewing mapping specification documentation,other
"â¢ Create / Update database objects like tables, views, stored procedures, function, and packages",other
â¢ Monitored SQL Server Error Logs and Application Logs through SQL Server Agent,skills
"â¢ Prepared Data Flow Diagrams, Entity Relationship Diagrams using UML",other
"â¢ Responsible for Designing, developing and Normalization of database tables",other
â¢ Experience in performance tuning using SQL profiler,experience
"â¢ Involved in QA, UAT, knowledge transfer and support activities",other
"Technical Environment: SQL Server 2008/2014, Visual Studio 2010, Windows Server, Performance",skills
"Monitor, SQL Server Profiler, C#, PL-SQL, T-SQL",skills
Education Details,other
"MCA   YMCAUST,  Faridabad,  Haryana",other
Data Science internship,experience
Skill Details,other
Data Structure- Exprience - Less than 1 year months,other
C- Exprience - Less than 1 year months,other
Data Analysis- Exprience - Less than 1 year months,other
Python- Exprience - Less than 1 year months,skills
Core Java- Exprience - Less than 1 year months,skills
Database Management- Exprience - Less than 1 year monthsCompany Details,experience
company - Itechpower,experience
description -,other
"SKILLS C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint",skills
RECOGNITION Academic Secured First place in B,other
Tech,other
Education Details,other
August 2014 to May 2018 B,other
Tech,other
"Ghatkesar, Andhra Pradesh Aurora's Scientific and Technological Institute",other
"June 2012 to May 2014  Secondary Education Warangal, Telangana SR Junior College",other
Data Science,other
Skill Details,other
MS OFFICE- Exprience - Less than 1 year months,other
C- Exprience - Less than 1 year months,other
machine learning- Exprience - Less than 1 year months,skills
data science- Exprience - Less than 1 year months,other
Matlab- Exprience - Less than 1 year monthsCompany Details,experience
company -,experience
description -,other
"Skills â¢ Python â¢ Tableau â¢ Data Visualization â¢ R Studio â¢ Machine Learning â¢ Statistics IABAC Certified Data Scientist with versatile experience over 1+ years in managing business, data science consulting and leading innovation projects, bringing business ideas to working real world solutions",experience
"Being a strong advocator of augmented era, where human capabilities are enhanced by machines, Fahed is passionate about bringing business concepts in area of machine learning, AI, robotics etc",skills
", to real life solutions",other
Education Details,other
January 2017 B,other
"Tech Computer Science & Engineering Mohali, Punjab Indo Global College of Engineering",experience
Data Science Consultant,other
Data Science Consultant - Datamites,other
Skill Details,other
MACHINE LEARNING- Exprience - 13 months,skills
PYTHON- Exprience - 24 months,skills
SOLUTIONS- Exprience - 24 months,other
DATA SCIENCE- Exprience - 24 months,other
DATA VISUALIZATION- Exprience - 24 months,other
Tableau- Exprience - 24 monthsCompany Details,experience
company - Datamites,experience
"description - â¢ Analyzed and processed complex data sets using advanced querying, visualization and analytics tools",other
"â¢ Responsible for loading, extracting and validation of client data",other
"â¢ Worked on manipulating, cleaning & processing data using python",experience
â¢ Used Tableau for data visualization,other
company - Heretic Solutions Pvt Ltd,experience
description - â¢ Worked closely with business to identify issues and used data to propose solutions for effective decision making,experience
"â¢ Manipulating, cleansing & processing data using Python, Excel and R",skills
"â¢ Analyzed raw data, drawing conclusions & developing recommendations",other
â¢ Used machine learning tools and statistical techniques to produce solutions to problems,skills
Education Details,other
B,other
Tech   Rayat and Bahra Institute of Engineering and Biotechnology,experience
Data Science,other
Data Science,other
Skill Details,other
Numpy- Exprience - Less than 1 year months,other
Machine Learning- Exprience - Less than 1 year months,skills
Tensorflow- Exprience - Less than 1 year months,other
Scikit- Exprience - Less than 1 year months,other
Python- Exprience - Less than 1 year months,skills
GCP- Exprience - Less than 1 year months,other
Pandas- Exprience - Less than 1 year months,other
Neural Network- Exprience - Less than 1 year monthsCompany Details,experience
company - Wipro,experience
description - Bhawana Aggarwal,other
E-Mail:bhawana,other
chd@gmail,other
com,other
Phone: 09876971076,other
"VVersatile, high-energy professional targeting challenging assignments in Machine",other
PROFILE SUMMARY,other
âª An IT professional with knowledge and experience of 2 years in Wipro Technologies in Machine,experience
"Learning, Deep Learning, Data Science, Python, Software Development",skills
"âª Skilled in managing end-to-end development and software products / projects from inception, requirement",project
"specs, planning, designing, implementation, configuration and documentation",other
"âª Knowledge on Python , Machine Learning, Deep Learning, data Science, Algorithms, Neural Network,",skills
"NLP, GCP",other
"âª Knowledge on Python Libraries like Numpy, Pandas, Seaborn , Matplotlib, Cufflinks",skills
"âª Knowledge on different algorithms in Machine learning like KNN, Decision Tree, Bias variance Trade off,",skills
"Support vector Machine(SVM),Logistic Regression, Neural networks",other
"âª Have knowledge on unsupervised, Supervised and reinforcement data",other
"âª Programming experience in relational platforms like MySQL,Oracle",experience
"âª Have knowledge on Some programming language like C++,Java",skills
âª Experience in cloud based environment like Google Cloud,experience
"âª Working on different Operating System like Linux, Ubuntu, Windows",other
âª Good interpersonal and communication skills,other
"âª Problem solving skills with the ability to think laterally, and to think with a medium term and long term",other
perspective,other
âª Flexibility and an open attitude to change,other
"âª Ability to create, define and own frameworks with a strong emphasis on code reusability",other
TECHNICAL SKILLS,other
"Programming Languages Python, C",skills
"Libraries Seaborn, Numpy, Pandas, Cufflinks, Matplotlib",other
Algorithms,other
"KNN, Decision Tree, Linear regression, Logistic Regression, Neural Networks, K means clustering,",other
"Tensorflow, SVM",other
"Databases SQL, Oracle",skills
"Operating Systems Linux, Window",other
"Development Environments NetBeans, Notebooks, Sublime",other
"Ticketing tools Service Now, Remedy",other
Education,other
UG Education:,other
B,other
Tech (Computer Science) from Rayat and Bahra Institute of Engineering and Biotechnology passed with 78,experience
4%in,other
2016,other
Schooling:,other
XII in 2012 from Moti Ram Arya Sr,other
Secondary School(Passed with 78,other
4%),other
X in 2010 from Valley Public School (Passed with 9,other
4 CGPA),other
WORK EXPERINCE,other
Title : Wipro Neural Intelligence Platform,other
Team Size : 5,other
Brief: Wiproâs Neural Intelligence Platform harnesses the power of automation and artificial intelligence,other
"technologiesânatural language processing (NLP), cognitive, machine learning, and analytics",skills
The platform,other
comprises three layers: a data engagement platform that can easily access and manage multiple structured and,other
unstructured data sources; an âintent assessment and reasoningâ engine that includes sentiment and predictive,other
"analytics; and a deep machine learning engine that can sense, act, and learn over time",skills
The project entailed,project
automating responses to user queries at the earliest,other
"The Monster Bot using the power of Deep Machine Learning,",skills
NLP to handle such queries,other
User can see the how their queries can be answered quickly like allL1 activities can be,other
eliminated,other
Entity Extractor -> This involves text extraction and NLP for fetching out important information from the text like,other
"dates, names, places, contact numbers etc",other
"This involves Regex, Bluemix NLU apiâs and machine learning using",skills
Tensor flow for further learning of new entities,other
"Classifier ->This involves the classifications of classes, training of dataset and predicting the output using the SKLearn",other
"classifier (MNB, SVM, SGD as Classifier) and SGD for the optimization to map the user queries with the best",other
suited response and make the system efficient,other
NER: A Deep Learning NER Model is trained to extract the entities from the text,other
"Entities like Roles, Skills,",other
Organizations can be extracted from raw text,other
RNN(LSTM) Bidirectional model is trained for extracting such entities,other
using Keras TensorFlow framework,other
OTHER PROJECTS,project
Title : Diabetes Detection,other
Brief : Developed the software which can detect whether the person is suffering from Diabetes or not and got the third,project
prize in it,other
TRAINING AND CERTIFICATIONS,other
"Title: Python Training, Machine Learning, Data Science, Deep Learning",skills
"Organization: Udemy, Coursera (Machine Learning, Deep Learning)",skills
Personal Profile,other
Fatherâs Name :Mr,other
Tirlok Aggarwal,other
Language Known : English & Hindi,other
Marital Status :Single,other
Date of Birth(Gender):1993-12-20(YYYY-MM-DD) (F),other
company - Wipro,experience
description - Developing programs in Python,skills
company - Wipro,experience
description - Title : Wipro Neural Intelligence Platform,other
Team Size : 5,other
Brief: Wiproâs Neural Intelligence Platform harnesses the power of automation and artificial intelligence,other
"technologiesânatural language processing (NLP), cognitive, machine learning, and analytics",skills
The platform,other
comprises three layers: a data engagement platform that can easily access and manage multiple structured and,other
unstructured data sources; an âintent assessment and reasoningâ engine that includes sentiment and predictive,other
"analytics; and a deep machine learning engine that can sense, act, and learn over time",skills
The project entailed,project
automating responses to user queries at the earliest,other
"The Monster Bot using the power of Deep Machine Learning,",skills
NLP to handle such queries,other
User can see the how their queries can be answered quickly like allL1 activities can be,other
eliminated,other
Entity Extractor -> This involves text extraction and NLP for fetching out important information from the text like,other
"dates, names, places, contact numbers etc",other
"This involves Regex, Bluemix NLU apiâs and machine learning using",skills
Tensor flow for further learning of new entities,other
"Classifier ->This involves the classifications of classes, training of dataset and predicting the output using the SKLearn",other
"classifier (MNB, SVM, SGD as Classifier) and SGD for the optimization to map the user queries with the best",other
suited response and make the system efficient,other
NER: A Deep Learning NER Model is trained to extract the entities from the text,other
"Entities like Roles, Skills,",other
Organizations can be extracted from raw text,other
RNN(LSTM) Bidirectional model is trained for extracting such entities,other
using Keras TensorFlow framework,other
company - Wipro Technologies,experience
description - An IT professional with knowledge and experience of 2 years in Wipro Technologies in Machine,experience
"Learning, Deep Learning, Data Science, Python, Software Development",skills
"âª Skilled in managing end-to-end development and software products / projects from inception, requirement",project
"specs, planning, designing, implementation, configuration and documentation",other
"âª Knowledge on Python , Machine Learning, Deep Learning, data Science, Algorithms, Neural Network,",skills
"NLP, GCP",other
"âª Knowledge on Python Libraries like Numpy, Pandas, Seaborn , Matplotlib, Cufflinks",skills
"âª Knowledge on different algorithms in Machine learning like KNN, Decision Tree, Bias variance Trade off,",skills
"Support vector Machine(SVM),Logistic Regression, Neural networks",other
"âª Have knowledge on unsupervised, Supervised and reinforcement data",other
"âª Programming experience in relational platforms like MySQL,Oracle",experience
"âª Have knowledge on Some programming language like C++,Java",skills
âª Experience in cloud based environment like Google Cloud,experience
"âª Working on different Operating System like Linux, Ubuntu, Windows",other
âª Good interpersonal and communication skills,other
"âª Problem solving skills with the ability to think laterally, and to think with a medium term and long term",other
perspective,other
âª Flexibility and an open attitude to change,other
"âª Ability to create, define and own frameworks with a strong emphasis on code reusability",other
Personal Skills â¢ Ability to quickly grasp technical aspects and willingness to learn â¢ High energy levels & Result oriented,other
Education Details,other
"January 2018 Master of Engineering Computer Technology & Application Bhopal, Madhya Pradesh Truba Institute of Engineering & Information Technology",education
January 2010 B,other
E,other
"computer science Bhopal, Madhya Pradesh RKDF Institute of Science and Technology College of Engineering",experience
"January 2006 Polytechnic Information Technology Vidisha, Madhya Pradesh SATI Engineering College in Vidisha",experience
January 2003 M,other
tech Thesis Detail  BMCH School in Ganj basoda,other
Data science,other
I have six month experience in Data Science,experience
"Key Skills: - Experience in Machine Learning, Deep Leaning, NLP, Python, SQL, Web Scraping Good knowledge in computer subjects and ability to update",experience
Skill Details,other
"Experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Crawling, HTML,CSS",experience
- Exprience - Less than 1 year monthsCompany Details,experience
company - RNT,experience
AI Technology Solution,other
description - Text classification using Machine learning Algorithms with python,skills
Practical knowledge of Deep learning algorithms such as Â Recurrent Neural Networks(RNN),other
Develop custom data models and algorithms to apply to dataset,other
"Experience with Python packages like Pandas, Scikit-learn, Tensor Flow, Numpy, Matplotliv, NLTK",experience
"Comfort with SQL, Â MYSQL",skills
Sentiment analysis,other
"Â Apply leave Dataset using classification technique like Tf--idf , LSA with cosine similarity using Machine learning Algorithms",skills
Web crawling using Selenium web driver and Beautiful Soup with python,skills
company - Life Insurance Corporation of India Bhopal,experience
description - Ã¼Â Explaining policy features and the benefits,other
Ã¼ Updated knowledge of life insurance products and shared with customers,other
"Expertise â Data and Quantitative Analysis â Decision Analytics â Predictive Modeling â Data-Driven Personalization â KPI Dashboards â Big Data Queries and Interpretation â Data Mining and Visualization Tools â Machine Learning Algorithms â Business Intelligence (BI) â Research, Reports and Forecasts Education Details",skills
"PGP in Data Science  Mumbai, Maharashtra Aegis School of data science & Business",other
B,other
E,other
"in Electronics & Communication Electronics & Communication Indore, Madhya Pradesh IES IPS Academy",other
Data Scientist,other
Data Scientist with PR Canada,other
Skill Details,other
Algorithms- Exprience - 6 months,other
BI- Exprience - 6 months,other
Business Intelligence- Exprience - 6 months,other
Machine Learning- Exprience - 24 months,skills
Visualization- Exprience - 24 months,other
spark- Exprience - 24 months,other
python- Exprience - 36 months,skills
tableau- Exprience - 36 months,other
Data Analysis- Exprience - 24 monthsCompany Details,experience
company - Aegis school of Data Science & Business,experience
"description - Mostly working on industry project for providing solution along with Teaching Appointments: Teach undergraduate and graduate-level courses in Spark and Machine Learning as an adjunct faculty member at Aegis School of Data Science, Mumbai (2017 to Present)",skills
company - Aegis school of Data & Business,experience
"description - Data Science Intern, Nov 2015 to Jan 2016",experience
"Furnish executive leadership team with insights, analytics, reports and recommendations enabling effective strategic planning across all business units, distribution channels and product lines",other
â Chat Bot using AWS LEX and Tensor flow  Python,skills
The goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute,project
The objective of this task is to reduce human efforts as well as reduce man made errors,other
Even by this companies handle their client 24x7,other
In this case companies are academic institutions and clients are participants or students,other
â Web scraping using Selenium web driver   Python,skills
The task is to scrap the data from the online messaging portal in a text format and have to find the pattern form it,other
"â Data Visualization and Data insights   Hadoop Eco System, Hive, PySpark, QlikSense",other
"The goal of this project is to build a Business Solutions to a Internet Service Provider Company, like handling data which is generated per day basis, for that we have to visualize that data and find the usage pattern form it and have a generate a reports",experience
"â Image Based Fraud Detection   Microsoft Face API, PySpark, Open CV",other
The main goal of project is Recognize similarity for a face to given Database images,project
Face recognition is the recognizing a special face from set of different faces,other
"Face is extracted and then compared with the database Image if that Image recognized then the person already applied for loan from somewhere else and now hiding his or her identity, this is how we are going to prevent the frauds in the initial stage itself",other
"â Churn Analysis for Internet Service Provider   R, Python, Machine Learning, Hadoop",experience
The objective is to identify the customer who is likely to churn in a given period of time; we have to pretend the customer giving incentive offers,other
"â Sentiment Analysis   Python, NLP, Apache Spark service in IBM Bluemix",skills
"This project is highly emphasis on tweets from Twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive, negative or neutral, capture the emotions of the tweets and comparative analysis",project
Quantifiable Results:,other
â Mentored 7-12 Data Science Enthusiast each year that have all since gone on to graduate school in Data Science and Business Analytics,other
â Reviewed and evaluated 20-40 Research Papers on Data Science for one of the largest Data Science Conference called Data Science Congress by Aegis School of Business Mumbai,other
â Heading a solution providing organization called Data Science Delivered into Aegis school of Data Science Mumbai and managed 4-5 live projects using Data Science techniques,project
"â Working for some social cause with the help of Data Science for Social Goods Committee, where our team developed a product called ""Let's find a missing Child"" for helping society",project
company - IBM India pvt ltd,experience
description - Mostly worked on blumix and IBM Watson for Data science,experience
Skills,other
"Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery",skills
"Machine learning: Regression, SVM, NaÃ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets",skills
"Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3",skills
"js, DC",other
"js, Plotly, kibana, matplotlib, ggplot, Tableau",other
"Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning",skills
Education Details,other
Data Science Assurance Associate,other
Data Science Assurance Associate - Ernst & Young LLP,other
Skill Details,other
JAVASCRIPT- Exprience - 24 months,skills
jQuery- Exprience - 24 months,other
Python- Exprience - 24 monthsCompany Details,experience
company - Ernst & Young LLP,experience
description - Fraud Investigations and Dispute Services   Assurance,other
TECHNOLOGY ASSISTED REVIEW,other
TAR (Technology Assisted Review) assists in accelerating the review process and run analytics and generate reports,other
"Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review",other
"Understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data",other
Worked on analyzing the outputs and precision monitoring for the entire tool,experience
"TAR assists in predictive coding, topic modelling from the evidence by following EY standards",other
"Developed the classifier models in order to identify ""red flags"" and fraud-related issues",project
"Tools & Technologies: Python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, NaÃ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis",skills
"Matplot lib, Tableau dashboard for reporting",other
MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS),project
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIEW DATA,other
Received customer feedback survey data for past one year,other
"Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories",other
Created heat map of terms by survey category based on frequency of words,project
Extracted Positive and Negative words across all the Survey categories and plotted Word cloud,other
